model,accuracy,f1-score,f1-macro,auc
MobileNetV2,0.889423076923077,0.8869453004497523,0.8774176029882799,0.9544817006355469
VGG16,0.9182692307692308,0.9171598377171526,0.9106743762671783,0.9693732193732194
EfficientNetB0,0.8955128205128207,0.8961870514899524,0.8900764207345138,0.9631536269997809
Random Forest,0.8782051282051281,0.8752212717609197,0.8644536245243508,0.9450164365548982
Ensemble (All),0.9192307692307692,0.9180327606115597,0.9115000928502781,0.9772605741836511
Ensemble (No EfficientNet),0.910897435897436,0.9090777307640545,0.9014796555600946,0.97387902695595
SVM (Ensemble Features),0.9342967741935484,,,0.9789693256151806
Ensemble (RF+SVM),0.7243589743589743,0.7032383180446962,0.6696176814627839,0.80152312075389
